stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8490B553961,553961,Ballygarries,,53.68628,-9.18447,,,,
8490B5540401,554041,Louisburgh,,53.7637263274053,-9.80848625383278,,,,
8490B5541501,554151,Neale,,53.5720016170257,-9.23026004556904,,,,
8490B554341,554341,Tumgesh,,53.97637,-8.90209,,,,
8490B5543501,554351,Tumgesh,,53.9762947386001,-8.90220513881829,,,,
8490B5543601,554361,Partry,,53.6985751095344,-9.27924475092824,,,,
8490B5544201,554421,Pontoon,,53.97644,-9.21223,,,,
8490B5544301,554431,Cuing Beg,,53.9906,-9.175711,,,,
8490B554441,554441,Cuing Beg,,53.9906,-9.175742,,,,
8490B554451,554451,Pontoon,,53.976528,-9.212483,,,,
8490B5546501,554651,Coonealmore,,54.166706,-9.212048,,,,
8490B5546801,554681,Bohola,,53.9025305969151,-9.05178492998568,,,,
8490B5548301,554831,Sheean,,53.803285,-9.473953,,,,
8490B5548401,554841,Shrule,,53.5193619662227,-9.0866504145537,,,,
8490B5549501,554951,Killala,,54.2126192053212,-9.2215946138281,,,,
8490B5549601,554961,Ballycastle,,54.2792988854489,-9.36945324081909,,,,
8490B5549901,554991,Strade,,53.920727,-9.131073,,,,
8490B5550501,555051,Ballina Bus Station,,54.110827,-9.160208,,,,
8490B5550701,555071,Keeloges,,53.812094,-9.416375,,,,
8490B5551901,555191,Tooreen,,53.674924,-9.268826,,,,
8490B5552001,555201,Farragh,,54.186084,-9.248636,,,,
8490B5553501,555351,Moygownagh,,54.1607639368437,-9.34590511632792,,,,
8490B5553701,555371,Claremorris,,53.721867,-8.997618,,,,
8490B5553801,555381,Knock,,53.7946149477604,-8.91886789425847,,,,
8490B5555501,555551,Clydagh,,54.228308,-9.369682,,,,
8490B555681,555681,Carha,,54.151196,-9.042112,,,,
8490B555691,555691,Bunnyconnellan,,54.109656,-9.024935,,,,
8490B5557101,555711,Westport,,53.798649,-9.520623,,,,
8490B5557201,555721,Castlebar,,53.85412,-9.303623,,,,
8490B5557301,555731,Ballyhaunis,,53.763403178001,-8.76554658226177,,,,
8490B555891,555891,Balla,,53.8052239934661,-9.13074022122739,,,,
8490B5559301,555931,Breaffy,,53.8470554013366,-9.23920810582941,,,,
8490B557151,557151,Culleens,,54.1375781529013,-9.16594410787841,,,,
8490B557161,557161,Westport Quay,,53.79638,-9.55367,,,,
8490B557171,557171,Kilsallagh,,53.77252,-9.7395,,,,
8490B557181,557181,Westport Station,,53.796222,-9.51003,,,,
8490B557191,557191,Westport Quay,,53.798026,-9.551766,,,,
8490B557261,557261,Kilsallagh,,53.773256,-9.737177,,,,
8490B558041,558041,Talach,,54.22776,-9.989251,,,,
8490B558141,558141,Culleens,,54.1376852184189,-9.1660236343784,,,,
8490B558241,558241,Crossmolina,,54.100097,-9.319812,,,,
8490B558301,558301,Bellacorick,,54.118525,-9.576948,,,,
8490B558501,558501,Carraun,,54.1507244135783,-9.10209407962161,,,,
8490B5587501,558751,Quignalegan,,54.129054,-9.11532,,,,
8490B558821,558821,Doire Choirb,,54.207824,-9.934079,,,,
8490B559701,559701,Ballina Humbert Street,,54.116356,-9.153433,,,,
8490B559801,559801,Carrowmore,,54.254351,-9.274594,,,,
8490B5598101,559811,Beltra,,54.2879,-9.261391,,,,
8490B5621001,562101,Knock,,53.794721,-8.916776,,,,
8490B581551,581551,Bunnyconnellan,,54.109679,-9.025471,,,,
8490B582111,582111,Crossmolina,,54.10016,-9.31982,,,,
8490B582121,582121,Dooleeg,,54.1083328342039,-9.50766303564972,,,,
8490B582131,582131,Bellacorick,,54.118644,-9.57683,,,,
8490B582141,582141,Bangor Erris,,54.144705,-9.74308,,,,
8490B582161,582161,Doire Choirb,,54.207937,-9.934408,,,,
8490B582181,582181,An Geata Mór,,54.204762,-10.035993,,,,
8490B582191,582191,Loch na Léime,,54.173446,-10.067359,,,,
8490B582201,582201,An Eachléim,,54.117195,-10.101473,,,,
8490B582211,582211,An Fód Dubh,,54.100223,-10.06795,,,,
8490B583041,583041,Bangor Erris,,54.1446250557486,-9.74299962284818,,,,
8490B5835501,583551,Knockaskeehaun,,54.147046,-9.268509,,,,
8490B584451,584451,Talach,,54.227769,-9.989236,,,,
8490B584651,584651,An Geata Mór,,54.204684,-10.035866,,,,
8490B5858501,585851,Quignalegan,,54.129034,-9.115457,,,,
8490B5875501,587551,Carha,,54.151213,-9.042128,,,,
8490B5889501,588951,Rosserk,,54.1725767084074,-9.16440099883222,,,,
8490B5890501,589051,Newtownwhite,,54.186611,-9.179382,,,,
8490B5891501,589151,Ballinteean,,54.190418,-9.198813,,,,
8490B5892501,589251,Coonealmore,,54.169162,-9.216255,,,,
8490B5893501,589351,Cloonshinnagh,,54.184941,-9.244481,,,,
8490B5894501,589451,Rappacastle,,54.14793,-9.24804,,,,
8490B5895501,589551,Carrowkeribly,,54.049677,-9.124066,,,,
8490B589561,589561,Carrowkeribly,,54.049848,-9.124025,,,,
8490B592251,592251,An Fód Dubh,,54.098516,-10.061073,,,,
8490B5923501,592351,Dooleeg,,54.108241,-9.507623,,,,
8490B592451,592451,Loch na Léime,,54.173361,-10.067079,,,,
8490B592511,592511,An Eachléim,,54.117195,-10.101473,,,,
8490B5973501,597351,Templemurry,,54.233714,-9.257928,,,,
8490B5974501,597451,Muingrevagh,,54.308516,-9.344468,,,,
8490B599901,599901,Lackan,,54.229599,-9.28673,,,,
8490B5999101,599911,Banagher,,54.2628872442905,-9.22699473594136,,,,
8490B599921,599921,Muingrevagh,,54.30861,-9.34451,,,,
8490B599931,599931,Beltra,,54.28801,-9.261241,,,,
8490B599941,599941,Carrowmore,,54.254309,-9.274316,,,,
8490B599961,599961,Templemurry,,54.233589,-9.257817,,,,
8490B599971,599971,Killala,,54.2125108074098,-9.22076351027097,,,,
8490B612311,612311,Kilkelly,,53.8712295096573,-8.84999087139018,,,,
8490B612321,612321,Kilkelly,,53.8713099452537,-8.8500533260727,,,,
8490B621521,621521,Kiltimagh,,53.84976,-8.999395,,,,
8490B621531,621531,Kiltimagh,,53.849607,-8.999346,,,,
8490B631111,631111,Ballindine,,53.6702294223409,-8.95795805280028,,,,
8490B6313001,631301,Ballinrobe,,53.6238977830946,-9.22194264128033,,,,
8490B6313601,631361,Ballindine,,53.6700975489934,-8.95759185703108,,,,
8490B6314101,631411,Gob an Choire,,53.93201,-9.92353,,,,
8490B631421,631421,Gob an Choire,,53.932007,-9.923676,,,,
8490B63143,631431,Radharc Na Mara,,53.930269,-9.928263,,,,
8490B63148,631481,Radharc Na Mara,,53.930233,-9.928284,,,,
8490B638031,638031,Bun an Churraigh,,53.975074,-9.985622,,,,
8490B638041,638041,An Caiseal,,53.963172,-9.976506,,,,
8490B638061,638061,Cushlecka,,53.906154,-9.786766,,,,
8490B6380701,638071,Cushlecka,,53.906116,-9.786871,,,,
8490B6380801,638081,An Caiseal,,53.963127,-9.976534,,,,
8490B6380901,638091,Bun an Churraigh,,53.97501,-9.98567,,,,
8490B6381001,638101,Newport,,53.8864152711403,-9.54612365434968,,,,
8490B638111,638111,Newport,,53.8863976972068,-9.54609258053447,,,,
8490B6381601,638161,Roundfort,,53.6382387049661,-9.10378234450668,,,,
8490B6523101,652311,Carracastle,,53.951325161121,-8.69639007977636,,,,
8490B652321,652321,Carracastle,,53.9516559408817,-8.69668505556482,,,,
8500B1050401,105041,Bellanagare,,53.8372990094203,-8.38230477779472,,,,
8500B141681,141681,Ballaghaderreen,,53.9018149515848,-8.57886891666856,,,,
8500B141691,141691,Frenchpark,,53.8692175924622,-8.40704504679187,,,,
8500B141711,141711,Bellanagare,,53.8373075596536,-8.38244159450004,,,,
8500B141721,141721,Tulsk,,53.7794872383728,-8.25490853842491,,,,
8500B141731,141731,Strokestown,,53.7763974924164,-8.10360342326038,,,,
8500B141741,141741,Termonbarry,,53.742383913973,-7.91923368534949,,,,
8500B150911,150911,Kiltoom,,53.4708817676742,-8.01744171353657,,,,
8500B150921,150921,Knockcroghery,,53.5757556443391,-8.09491343046388,,,,
8500B150931,150931,Ballymurray,,53.6018216487642,-8.12815007146117,,,,
8500B150941,150941,Roscommon Hospital,,53.6254680010789,-8.17553768304607,,,,
8500B150971,150971,Ballinlough,,53.7418378021303,-8.63434769209699,,,,
8500B152381,152381,Elphin,,53.8453747133634,-8.19201703666966,,,,
8500B152391,152391,Elphin,,53.8453836022052,-8.1920778615466,,,,
8500B178921,178921,Tulsk,,53.7791818049035,-8.25486117108449,,,,
8500B210321,210321,Ballinlough,,53.7418289767982,-8.63431724134605,,,,
8500B455431,455431,Bellanamullia,,53.4270440808323,-8.0188682219006,,,,
8500B455441,455441,Millcross Road,,53.426344,-8.011074,,,,
8500B455451,455451,Monksfield,,53.4254458668963,-8.00355082403533,,,,
8500B455741,455741,Danesfort,,53.4197014397408,-7.97865279558974,,,,
8500B455751,455751,Monksland,,53.4204487727476,-7.98928860044573,,,,
8500B455761,455761,Monksfield,,53.4254278198156,-8.00549173823876,,,,
8500B455771,455771,Millcross Road,,53.426039,-8.010231,,,,
8500B455781,455781,Bellanamullia,,53.426900334444,-8.0185973234401,,,,
8500B500001,500001,Slí an Chóiste,,53.42369282987,-7.98742217462101,,,,
8500B5001101,500111,Millbrook,,53.4231799379923,-7.982337094118,,,,
8500B5001201,500121,Cushla,,53.4230086638423,-7.97908744416322,,,,
8500B530121,530121,Athleague,,53.5676988436291,-8.25702995571448,,,,
8500B5301401,530141,Aghaderry,,53.8327635249552,-8.57155103090359,,,,
8500B5301501,530151,Aghaderry,,53.8326381586982,-8.57145817426231,,,,
8500B530161,530161,Ballaghaderreen,,53.9018059659564,-8.57886879245165,,,,
8500B530321,530321,Beagh,,53.737212,-8.470126,,,,
8500B530341,530341,Athleague,,53.5676092056153,-8.25692373799864,,,,
8500B5303801,530381,Beagh,,53.737193,-8.470262,,,,
