route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4515_88288,93,4515_18035,Palermo,19705,1,4515_7778195_1912007,4515_599
4515_88288,91,4515_18036,Palermo,7751,1,4515_7778195_1912016,4515_600
4515_88288,92,4515_18037,Palermo,14525,1,4515_7778195_1912011,4515_601
4515_88288,92,4515_18038,Palermo,14555,1,4515_7778195_1912006,4515_599
4515_88288,93,4515_18039,Palermo,19771,1,4515_7778195_1912005,4515_600
4515_88178,91,4515_1804,Mountjoy Square,7187,1,4515_7778195_1013004,4515_58
4515_88288,91,4515_18040,Palermo,7755,1,4515_7778195_1912023,4515_601
4515_88288,91,4515_18041,Palermo,7744,1,4515_7778195_1912011,4515_599
4515_88288,93,4515_18042,Palermo,19719,1,4515_7778195_1912002,4515_600
4515_88288,92,4515_18043,Palermo,14455,1,4515_7778195_1912001,4515_601
4515_88288,91,4515_18044,Palermo,7765,1,4515_7778195_1912022,4515_599
4515_88288,92,4515_18045,Palermo,14414,1,4515_7778195_1912005,4515_600
4515_88288,93,4515_18046,Palermo,19789,1,4515_7778195_1912006,4515_601
4515_88288,93,4515_18047,Palermo,19773,1,4515_7778195_1912005,4515_599
4515_88288,91,4515_18048,Palermo,7753,1,4515_7778195_1912016,4515_600
4515_88288,92,4515_18049,Palermo,14527,1,4515_7778195_1912011,4515_601
4515_88178,93,4515_1805,Mountjoy Square,19256,1,4515_7778195_1013014,4515_58
4515_88288,92,4515_18050,Palermo,14416,1,4515_7778195_1912005,4515_599
